d_5p_del,d_3p_del,d_gene,count
6,10,IGHD3/OR15-3b*01,2
8,1,IGHD2-2*03,3
5,2,IGHD1-14*01,2
1,5,IGHD3/OR15-3b*01,2
2,1,IGHD6-6*01,2
1,6,IGHD4/OR15-4b*01,1
2,8,IGHD5-24*01,2
8,0,IGHD5-24*01,2
4,3,IGHD2-15*01,3
4,1,IGHD2-21*02,2
1,2,IGHD4-23*01,3
10,12,IGHD3-10*01,13
0,5,IGHD4-4*01,3
13,4,IGHD3-3*02,1
7,2,IGHD2-2*03,4
4,2,IGHD6-13*01,5
5,1,IGHD1-26*01,8
0,2,IGHD3-10*01,9
6,8,IGHD5-24*01,1
2,11,IGHD3-3*02,1
8,2,IGHD2-21*02,1
16,0,IGHD3-22*01,2
1,7,IGHD6-19*01,1
2,5,IGHD3-16*02,2
11,0,IGHD1-14*01,1
7,1,IGHD3-10*02,2
5,15,IGHD3-3*01,2
9,21,IGHD3-16*02,1
2,5,IGHD3-22*01,9
