d_5p_del,d_3p_del,d_gene,count
5,3,IGHD6-25*01,1
16,6,IGHD3-3*02,25
3,3,IGHD3-3*01,2
1,0,IGHD1-20*01,1
7,0,IGHD1/OR15-1b*01,3
5,5,IGHD3-3*01,5
17,8,IGHD3-16*01,23
10,4,IGHD2-21*01,2
3,4,IGHD6-25*01,1
0,13,IGHD3-16*02,1
6,10,IGHD3-16*02,3
10,7,IGHD3-10*01,20
5,4,IGHD3-22*01,1
0,6,IGHD5-12*01,1
11,0,IGHD6-6*01,2
2,2,IGHD3-9*01,3
4,9,IGHD6-19*01,1
15,2,IGHD5/OR15-5b*01,1
2,3,IGHD3-9*01,4
9,2,IGHD1-7*01,1
6,7,IGHD2-15*01,1
4,4,IGHD5-5*01,10
3,4,IGHD3-16*02,2
13,6,IGHD3-9*01,1
4,9,IGHD2-2*03,1
6,16,IGHD3-22*01,2
3,0,IGHD5-24*01,2
10,1,IGHD6-25*01,1
2,15,IGHD3-10*01,1
7,2,IGHD3-22*01,1
14,0,IGHD3/OR15-3b*01,1
3,1,IGHD1-1*01,4
1,2,IGHD4-17*01,21
4,7,IGHD3-16*02,1
11,7,IGHD2-2*03,2
2,12,IGHD5-24*01,1
6,5,IGHD2-21*02,1
10,0,IGHD6-25*01,7
3,0,IGHD3-22*01,11
12,14,IGHD3-16*02,11
8,7,IGHD5-12*01,19
3,14,IGHD3-10*01,3
3,1,IGHD3-16*02,12
1,10,IGHD3/OR15-3b*01,3
9,0,IGHD2-8*02,2
10,16,IGHD3-10*01,1
6,8,IGHD3-22*01,4
5,13,IGHD3-3*02,1
12,5,IGHD3-16*02,1
1,4,IGHD5-12*01,2
1,15,IGHD3/OR15-3b*01,2
10,6,IGHD2-21*02,1
6,2,IGHD1-26*01,17
0,9,IGHD1/OR15-1b*01,1
3,3,IGHD6-6*01,1
2,10,IGHD5-24*01,1
15,3,IGHD3-10*02,1
4,2,IGHD1-26*01,3
3,0,IGHD3-3*01,3
0,10,IGHD4/OR15-4b*01,8
2,16,IGHD3-10*01,1
0,12,IGHD5/OR15-5b*01,1
11,1,IGHD2-15*01,2
4,9,IGHD2-21*02,2
14,4,IGHD3/OR15-3b*01,2
5,18,IGHD3-3*01,1
13,7,IGHD2-21*01,1
15,6,IGHD3/OR15-3b*01,1
11,11,IGHD3-16*02,1
0,8,IGHD4/OR15-4b*01,1
6,11,IGHD2-8*02,1
0,9,IGHD1-1*01,4
