v_gene,d_gene,j_gene,cdr3_length,v_3p_del,d_5p_del,d_3p_del,j_5p_del,vd_insertion,dj_insertion,count
IGHV1-2*03,IGHD6-6*01,IGHJ4*02_F,24,0,12,0,14,1,3,1
IGHV3-64*91,IGHD5/OR15-5b*01,IGHJ4*02_F,75,2,7,2,8,7,36,2
IGHV3-h*02,IGHD3-9*01,IGHJ4*02_F,-1,0,1,6,18,18,21,6
IGHV1-8*91,IGHD4-23*01,IGHJ4*02_F,51,0,3,5,4,1,15,5
IGHV3-73*02,IGHD6-19*01,IGHJ3*02_F,51,4,3,3,0,5,5,1
IGHV3-NL1*01,IGHD4-17*01,IGHJ4*02_F,42,8,1,0,4,2,9,1
IGHV7-4-1*92,IGHD7-27*01,IGHJ4*02_F,-1,0,6,0,16,1,19,2
IGHV3-64*04,IGHD3-10*02,IGHJ4*02_F,45,1,17,0,0,0,5,1
IGHV1/OR15-1*04,IGHD3-3*01,IGHJ4*02_F,54,2,2,15,3,13,4,1
IGHV3-66*03,IGHD3-10*01,IGHJ6*02_F,75,3,1,0,13,4,14,1
IGHV1-69*13,IGHD3/OR15-3b*01,IGHJ4*02_F,42,6,13,10,11,4,19,3
IGHV4-59*10,IGHD6-19*01,IGHJ4*02_F,45,2,10,0,2,7,3,1
IGHV3-9*02,IGHD3-10*01,IGHJ6*02_F,-1,16,7,13,15,17,2,1
IGHV3-h*02,IGHD6-19*01,IGHJ4*02_F,45,1,4,5,8,14,0,9
IGHV3-64*04,IGHD5-12*01,IGHJ4*02_F,57,1,0,1,0,5,3,1
IGHV3-NL1*01,IGHD1-26*01,IGHJ6*03_F,75,2,6,0,7,17,10,1
IGHV1/OR15-3*02,IGHD2-2*02,IGHJ6*03_F,72,0,1,2,6,6,1,2
IGHV1-69*13,IGHD6-19*01,IGHJ4*02_F,51,3,5,0,5,6,9,1
IGHV3-20*01,IGHD2-15*01,IGHJ6*03_F,66,3,7,8,1,1,10,2
IGHV5-a*02,IGHD1/OR15-1b*01,IGHJ6*03_F,45,3,2,0,21,3,8,1
IGHV7-4-1*92,IGHD3-22*01,IGHJ5*02_F,-1,2,10,4,20,2,9,3
IGHV3-NL1*01,IGHD3-3*01,IGHJ4*02_F,75,1,1,4,6,20,8,1
IGHV4-b*02,IGHD3-10*01,IGHJ4*03_F,-1,1,4,0,16,1,7,1
IGHV3-23*04,IGHD2-8*01,IGHJ2*01_F,-1,14,5,3,3,0,17,1
IGHV4-55*02,IGHD4-23*01,IGHJ4*02_F,42,1,1,0,12,4,5,1
IGHV3-64*04,IGHD5-24*01,IGHJ6*03_F,57,0,3,10,8,9,6,1
IGHV3-h*02,IGHD3-10*01,IGHJ3*01_F,66,0,5,4,1,8,7,3
IGHV4-61*02,IGHD1-7*01,IGHJ6*02_F,42,0,9,2,13,6,0,1
IGHV1-2*05,IGHD2-2*03,IGHJ4*02_F,44,6,6,9,3,8,1,1
IGHV4-4*07,IGHD5-24*01,IGHJ4*02_F,42,1,7,1,3,6,0,3
IGHV3-71*01,IGHD2-2*03,IGHJ6*03_F,75,2,1,3,20,13,14,1
IGHV1-f*01,IGHD2-15*01,IGHJ5*02_F,57,1,1,5,4,4,4,1
IGHV3-h*01,IGHD6-6*01,IGHJ6*03_F,75,1,6,0,3,20,4,1
IGHV3-66*04,IGHD3-22*01,IGHJ4*02_F,73,0,0,15,1,20,10,1
IGHV4-30-4*06,IGHD2-15*01,IGHJ6*03_F,69,0,1,0,19,6,9,1
