v_gene,d_gene,j_gene,cdr3_length,v_3p_del,d_5p_del,d_3p_del,j_5p_del,vd_insertion,dj_insertion,count
IGHV4-61*02,IGHD3-10*01,IGHJ5*02_F,39,1,10,11,7,5,1,1
IGHV3-d*01,IGHD3-10*01,IGHJ3*02_F,-1,12,7,6,1,0,1,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ6*03_F,45,0,10,10,16,6,1,1
IGHV3-49*05,IGHD2-21*01,IGHJ4*02_F,57,0,1,5,8,4,11,1
IGHV1-2*05,IGHD2-2*03,IGHJ4*02_F,44,6,1,9,3,3,1,10
IGHV3-NL1*01,IGHD3-10*02,IGHJ3*02_F,73,0,15,0,0,0,28,1
IGHV3-49*05,IGHD3-9*01,IGHJ3*02_F,57,1,6,10,5,5,13,1
IGHV3-h*02,IGHD3/OR15-3b*01,IGHJ1*01_F,72,1,2,3,3,6,12,1
IGHV3-NL1*01,IGHD5-24*01,IGHJ4*02_F,-1,149,4,2,11,33,32,1
IGHV3-h*01,IGHD2-2*02,IGHJ4*02_F,75,2,1,1,1,2,19,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,75,1,7,0,4,28,0,1
IGHV4-39*02,IGHD2/OR15-2b*01,IGHJ4*02_F,42,1,1,13,12,2,8,1
IGHV3-23*04,IGHD3/OR15-3b*01,IGHJ6*03_F,69,1,16,2,2,5,11,1
IGHV4-59*09,IGHD3-16*02,IGHJ6*03_F,75,0,20,6,5,19,7,1
IGHV4-61*02,IGHD2-15*01,IGHJ5*02_F,57,0,1,3,6,4,1,1
IGHV1-18*01,IGHD3-3*02,IGHJ4*02_F,57,3,7,7,1,15,1,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,69,0,3,4,6,10,13,1
IGHV4-30-4*06,IGHD3-3*01,IGHJ4*02_F,69,0,2,7,0,14,5,1
IGHV3-NL1*01,IGHD4-4*01,IGHJ4*02_F,36,2,7,0,7,0,8,1
IGHV5-78*01,IGHD7-27*01,IGHJ4*02_F,-1,83,3,1,25,9,32,1
IGHV4-34*13,IGHD3-10*01,IGHJ4*02_F,69,0,9,6,5,10,20,1
IGHV3-47*02,IGHD3-22*01,IGHJ4*02_F,70,0,0,4,8,5,18,1
IGHV4/OR15-8*03,IGHD1-26*01,IGHJ4*02_F,48,4,0,6,5,15,0,1
IGHV3/OR16-9*01,IGHD3-10*01,IGHJ5*02_F,-1,14,5,4,7,38,7,1
IGHV3-h*02,IGHD3-22*01,IGHJ6*02_F,73,1,10,8,4,19,3,1
IGHV3-h*01,IGHD3-10*01,IGHJ4*02_F,36,3,10,8,6,1,3,1
IGHV3-23*04,IGHD1-26*01,IGHJ4*02_F,36,1,5,6,8,6,2,1
IGHV3-66*03,IGHD3-3*01,IGHJ5*02_F,73,0,1,2,3,16,1,1
IGHV3-66*03,IGHD6-19*01,IGHJ6*03_F,75,1,2,2,3,13,6,1
IGHV5-78*01,IGHD1/OR15-1b*01,IGHJ6*03_F,-1,149,7,1,16,50,7,1
IGHV4-61*02,IGHD3-10*01,IGHJ3*02_F,69,0,0,10,0,2,16,1
IGHV3-9*02,IGHD5-12*01,IGHJ6*02_F,-1,0,2,7,31,7,9,1
IGHV3-23*04,IGHD3-3*01,IGHJ6*03_F,57,3,7,5,21,5,14,1
IGHV5-51*02,IGHD3-22*01,IGHJ6*03_F,75,0,5,6,11,17,6,1
IGHV3-64*91,IGHD2-2*03,IGHJ6*03_F,75,0,1,2,0,4,0,2
IGHV3-43*91,IGHD3-10*01,IGHJ3*02_F,75,4,2,9,1,7,21,1
IGHV3-13*04,IGHD6-19*01,IGHJ6*02_F,72,6,2,3,3,14,8,1
IGHV3-23*04,IGHD3-10*01,IGHJ6*02_F,75,0,1,6,5,7,6,1
IGHV3-72*01,IGHD2/OR15-2b*01,IGHJ6*03_F,36,0,28,0,20,7,3,1
IGHV3-49*05,IGHD1-26*01,IGHJ4*02_F,30,1,8,5,5,0,1,1
IGHV1/OR15-2*03,IGHD5-5*01,IGHJ4*02_F,34,0,2,7,7,0,2,1
IGHV3-h*02,IGHD6-6*01,IGHJ3*02_F,54,1,0,2,0,8,1,1
IGHV3-48*02,IGHD5/OR15-5b*01,IGHJ4*01_F,-1,3,8,9,15,4,1,1
IGHV4-30-4*06,IGHD5-5*01,IGHJ4*02_F,39,4,2,4,6,1,6,1
IGHV3-15*07,IGHD3-10*01,IGHJ4*02_F,51,1,6,9,5,11,2,1
IGHV3-72*01,IGHD3-22*01,IGHJ6*02_F,75,1,0,8,0,10,0,1
IGHV3-NL1*01,IGHD5-12*01,IGHJ6*03_F,-1,29,9,0,7,1,7,1
IGHV3-53*91,IGHD3-3*01,IGHJ4*02_F,59,0,0,8,6,6,10,1
IGHV4-b*02,IGHD6-19*01,IGHJ4*02_F,44,0,6,0,2,2,3,1
IGHV4-30-4*06,IGHD7-27*01,IGHJ4*02_F,39,1,6,0,8,12,3,1
IGHV3-71*01,IGHD3-16*02,IGHJ3*01_F,75,0,0,5,1,9,5,1
IGHV3-33*05,IGHD7-27*01,IGHJ4*02_F,36,1,4,1,8,9,2,1
IGHV3-23*03,IGHD2-15*01,IGHJ4*02_F,-1,0,8,0,16,1,10,1
IGHV1-2*03,IGHD2-2*03,IGHJ6*03_F,75,0,6,2,6,5,10,1
IGHV3-h*02,IGHD3-10*01,IGHJ5*02_F,75,2,6,5,0,12,14,1
IGHV3-64*04,IGHD3-10*01,IGHJ4*02_F,54,3,3,10,1,0,12,1
IGHV3-33*02,IGHD3-10*01,IGHJ4*02_F,54,0,4,5,8,9,3,1
IGHV3-NL1*01,IGHD3-10*01,IGHJ4*02_F,75,1,7,5,3,17,15,1
IGHV1-69*10,IGHD6-6*01,IGHJ5*02_F,24,4,8,7,8,2,0,7
IGHV3-64*04,IGHD3-10*01,IGHJ4*02_F,57,0,10,11,0,15,4,1
IGHV4-30-4*06,IGHD2-2*03,IGHJ5*02_F,69,0,1,0,5,3,10,1
IGHV3-74*03,IGHD7-27*01,IGHJ4*02_F,36,0,0,1,5,1,2,1
IGHV4-34*13,IGHD3-10*01,IGHJ6*01_F,71,0,3,14,3,17,0,1
IGHV3-15*07,IGHD2-15*01,IGHJ6*03_F,81,3,7,0,4,19,2,1
IGHV3-NL1*01,IGHD2-2*03,IGHJ6*02_F,75,0,2,1,1,5,0,3
IGHV3-23*04,IGHD5/OR15-5b*01,IGHJ4*02_F,45,1,3,6,6,0,10,1
IGHV3-73*02,IGHD1-26*01,IGHJ3*02_F,51,1,2,0,4,8,0,1
IGHV3-9*02,IGHD3-3*02,IGHJ6*03_F,73,3,11,8,2,10,11,1
IGHV3-9*02,IGHD3-22*01,IGHJ3*02_F,75,3,5,9,9,6,32,1
IGHV5-51*02,IGHD3/OR15-3b*01,IGHJ4*02_F,44,1,11,10,4,8,3,1
IGHV3-h*01,IGHD3-22*01,IGHJ6*03_F,73,1,0,11,5,6,10,1
IGHV3-h*02,IGHD2-2*03,IGHJ6*03_F,69,4,1,7,7,1,13,1
IGHV3-h*02,IGHD6-19*01,IGHJ4*02_F,45,1,2,0,6,1,4,1
IGHV3-h*02,IGHD2-21*02,IGHJ6*02_F,75,0,1,2,4,4,7,1
IGHV3-9*02,IGHD6-6*01,IGHJ6*02_F,-1,18,7,7,31,0,22,1
IGHV3-23*04,IGHD2-2*03,IGHJ6*03_F,75,1,3,3,3,7,4,1
IGHV3-9*02,IGHD2-2*02,IGHJ6*02_F,75,8,6,2,4,7,12,1
IGHV3-h*01,IGHD3-10*01,IGHJ4*02_F,45,1,6,5,5,1,2,1
IGHV3-7*03,IGHD2-21*02,IGHJ4*02_F,36,0,22,0,3,1,4,1
IGHV4-b*02,IGHD6-19*01,IGHJ4*02_F,42,1,2,0,2,0,0,1
IGHV3/OR16-13*91,IGHD2-2*03,IGHJ4*02_F,73,4,1,0,4,6,19,1
IGHV3-71*01,IGHD2-2*02,IGHJ6*03_F,-1,9,0,2,3,0,11,6
IGHV3-h*02,IGHD3-10*01,IGHJ4*02_F,45,0,10,9,4,8,1,1
IGHV3-NL1*01,IGHD6-13*01,IGHJ1*01_F,69,0,0,3,3,10,12,1
IGHV3-23*03,IGHD3-3*02,IGHJ3*02_F,-1,25,15,8,6,11,0,1
IGHV4-55*08,IGHD3-3*01,IGHJ4*02_F,-1,43,3,4,0,7,1,1
IGHV3-23*04,IGHD3/OR15-3b*01,IGHJ4*02_F,36,4,11,10,8,4,6,1
IGHV4-30-4*06,IGHD2-21*02,IGHJ4*02_F,44,0,8,2,5,3,0,1
IGHV4-4*07,IGHD6-13*01,IGHJ4*02_F,45,1,6,3,0,2,4,1
IGHV1-NL1*91,IGHD6-13*01,IGHJ2*01_F,49,6,6,5,6,17,1,1
IGHV1-2*03,IGHD2-2*02,IGHJ6*03_F,72,0,1,2,6,6,1,1
IGHV1-3*01,IGHD3-10*01,IGHJ4*02_F,72,0,4,2,3,10,12,1
IGHV3-49*05,IGHD7-27*01,IGHJ4*02_F,21,6,6,0,14,0,8,1
IGHV3-64*04,IGHD5-24*01,IGHJ4*02_F,36,0,7,1,5,0,1,1
IGHV3-h*01,IGHD3-10*01,IGHJ6*02_F,75,2,0,5,4,4,8,1
IGHV3-23*04,IGHD3-9*01,IGHJ6*02_F,74,2,6,4,0,9,3,1
IGHV4/OR15-8*03,IGHD2-2*03,IGHJ6*02_F,69,3,11,1,3,7,6,1
IGHV3-74*03,IGHD1-26*01,IGHJ3*02_F,44,1,0,5,5,0,5,1
IGHV3-h*02,IGHD3-16*02,IGHJ3*02_F,66,0,0,6,0,3,2,2
IGHV3-33*05,IGHD3/OR15-3b*01,IGHJ4*02_F,45,1,23,0,6,9,7,1
IGHV1-69*13,IGHD3-3*02,IGHJ3*02_F,-1,0,13,6,18,7,13,1
IGHV1/OR15-2*03,IGHD1-26*01,IGHJ4*02_F,48,0,5,5,7,7,10,1
IGHV3-23*04,IGHD6-25*01,IGHJ4*02_F,36,5,10,0,10,15,0,1
IGHV4/OR15-8*03,IGHD3-3*02,IGHJ4*02_F,88,2,11,3,0,14,31,1
IGHV4/OR15-8*03,IGHD2-2*02,IGHJ5*02_F,81,1,0,1,3,19,5,1
IGHV1-46*02,IGHD1-20*01,IGHJ4*02_F,42,0,7,2,0,5,1,1
IGHV3-64*04,IGHD3-10*02,IGHJ4*02_F,36,0,10,12,5,5,0,1
IGHV2-70*12,IGHD6-13*01,IGHJ5*02_F,57,0,2,0,4,4,5,1
IGHV3-15*07,IGHD3/OR15-3b*01,IGHJ6*02_F,36,1,13,10,14,0,0,1
IGHV3-h*02,IGHD3-3*01,IGHJ4*02_F,45,0,3,9,5,1,2,3
IGHV3-h*02,IGHD6-25*01,IGHJ3*02_F,44,0,0,4,1,1,0,1
IGHV3-23*04,IGHD3-9*01,IGHJ3*02_F,73,3,6,4,5,10,20,1
IGHV1-18*01,IGHD3-10*01,IGHJ5*02_F,42,0,10,11,7,8,0,2
IGHV3-15*05,IGHD3-22*01,IGHJ3*02_F,-1,22,0,10,0,3,8,1
IGHV3-15*07,IGHD3-10*01,IGHJ3*01_F,39,1,3,6,12,0,0,1
IGHV2-70*12,IGHD6-6*01,IGHJ4*02_F,18,0,16,0,14,0,0,1
IGHV4-59*10,IGHD2/OR15-2b*01,IGHJ6*03_F,42,2,17,5,10,2,0,2
IGHV3-64*04,IGHD2-2*03,IGHJ5*02_F,69,1,3,6,3,7,13,1
IGHV3/OR16-15*02,IGHD2-2*02,IGHJ5*02_F,75,6,1,2,3,17,10,1
IGHV3/OR16-10*03,IGHD7-27*01,IGHJ4*02_F,36,0,0,0,7,1,3,1
IGHV4-30-2*03,IGHD3-9*01,IGHJ4*02_F,75,4,1,10,7,17,21,1
IGHV1-18*01,IGHD3-3*01,IGHJ5*02_F,75,1,2,3,0,5,14,1
IGHV3-23*04,IGHD3-22*01,IGHJ4*02_F,57,3,2,5,5,8,5,1
IGHV4-61*02,IGHD2-21*01,IGHJ4*02_F,45,1,9,0,3,1,1,5
IGHV5-a*04,IGHD3-10*02,IGHJ6*03_F,75,1,10,3,6,5,19,1
IGHV3-h*02,IGHD2-2*03,IGHJ6*03_F,75,1,4,10,9,23,2,2
IGHV3-23*04,IGHD3-10*01,IGHJ4*02_F,57,0,1,11,6,1,15,6
IGHV3-23*04,IGHD2-15*01,IGHJ3*02_F,75,0,5,4,0,11,12,1
IGHV3-h*01,IGHD1-1*01,IGHJ4*02_F,36,0,2,6,5,1,3,1
IGHV3-9*02,IGHD3-16*01,IGHJ2P*01_P,-1,0,18,8,22,12,7,1
IGHV3-23*04,IGHD1/OR15-1b*01,IGHJ5*02_F,45,2,3,0,7,0,9,1
IGHV3-23*04,IGHD3-22*01,IGHJ4*02_F,69,1,0,11,0,6,16,1
IGHV1-46*02,IGHD3-22*01,IGHJ6*03_F,-1,1,0,16,31,1,32,1
IGHV3-64*04,IGHD3-9*01,IGHJ4*02_F,36,0,11,9,5,0,2,3
IGHV3-23*04,IGHD3/OR15-3b*01,IGHJ4*02_F,45,1,11,3,5,0,6,2
IGHV1-69*13,IGHD2-21*02,IGHJ4*02_F,42,1,8,5,6,2,4,4
IGHV4-30-4*06,IGHD2-15*01,IGHJ4*02_F,39,8,8,6,8,5,5,1
IGHV4-61*08,IGHD5-24*01,IGHJ6*03_F,39,0,3,12,19,7,3,2
IGHV3-20*91,IGHD2-15*01,IGHJ4*02_F,44,0,7,9,7,4,4,1
IGHV4-30-4*06,IGHD1-26*01,IGHJ3*02_F,39,1,9,2,5,2,4,1
IGHV3-9*02,IGHD2-2*03,IGHJ3*02_F,66,3,1,2,4,8,5,1
IGHV4-59*09,IGHD5/OR15-5b*01,IGHJ5*02_F,42,0,3,14,2,7,0,1
IGHV4-59*09,IGHD3-3*01,IGHJ6*04_F,69,0,6,3,7,11,0,1
IGHV3-9*02,IGHD3-22*01,IGHJ6*04_F,75,5,5,15,0,17,7,1
IGHV4/OR15-8*03,IGHD3-22*01,IGHJ4*02_F,70,3,0,7,7,19,9,1
IGHV5-78*01,IGHD6-19*01,IGHJ6*02_F,-1,77,12,1,37,9,20,1
IGHV3-74*03,IGHD3-9*01,IGHJ6*03_F,73,1,3,6,1,5,5,1
IGHV3-64*04,IGHD2-15*01,IGHJ4*02_F,57,0,1,6,6,0,11,1
IGHV3-h*02,IGHD5-12*01,IGHJ4*02_F,36,8,2,5,6,3,3,1
IGHV3-71*01,IGHD2-15*01,IGHJ5*02_F,73,1,0,2,5,15,4,1
IGHV3-74*03,IGHD1-26*01,IGHJ4*02_F,-1,1,8,0,16,9,12,1
IGHV4-30-4*06,IGHD3/OR15-3b*01,IGHJ4*03_F,-1,1,14,10,16,4,16,3
IGHV3-23*04,IGHD3-3*02,IGHJ4*02_F,75,0,10,0,0,18,8,1
IGHV3-48*04,IGHD3-10*02,IGHJ5*02_F,-1,133,6,0,0,18,6,1
IGHV3-h*01,IGHD1-26*01,IGHJ4*02_F,36,0,5,3,14,3,7,1
IGHV4-30-4*06,IGHD6-13*01,IGHJ4*02_F,39,1,7,0,2,0,0,1
IGHV1/OR15-3*03,IGHD4-17*01,IGHJ4*02_F,48,0,1,0,0,3,4,1
IGHV3-53*02,IGHD2-15*01,IGHJ6*03_F,75,0,2,2,3,7,3,1
IGHV1-58*02,IGHD2-2*01,IGHJ4*02_F,60,1,0,1,8,6,5,1
IGHV4-55*09,IGHD3-3*01,IGHJ6*03_F,69,0,0,3,10,3,5,1
IGHV3-h*02,IGHD6-19*01,IGHJ4*02_F,44,0,1,6,6,7,1,1
IGHV3-23*04,IGHD3-3*01,IGHJ4*02_F,57,1,3,11,0,6,7,1
IGHV3-NL1*01,IGHD6-6*01,IGHJ4*02_F,57,5,2,0,1,5,14,1
IGHV1/OR15-2*03,IGHD3-10*01,IGHJ6*02_F,69,1,2,10,6,5,9,1
IGHV3-23*04,IGHD1-26*01,IGHJ4*02_F,44,0,1,6,0,3,0,1
IGHV3/OR16-14*01,IGHD1-26*01,IGHJ6*02_F,57,0,0,7,1,4,0,1
IGHV1-2*04,IGHD2-2*03,IGHJ3*02_F,44,1,12,5,4,0,7,1
IGHV7-4-1*92,IGHD5-5*01,IGHJ2*01_F,-1,1,2,12,3,0,2,1
IGHV3-9*02,IGHD3-16*02,IGHJ6*03_F,69,6,12,3,10,12,6,1
IGHV2-70*12,IGHD6-6*01,IGHJ4*02_F,39,3,12,0,5,3,8,1
IGHV3-h*02,IGHD5/OR15-5b*01,IGHJ4*02_F,36,3,1,14,3,6,0,2
IGHV3-h*02,IGHD3-3*01,IGHJ6*03_F,69,4,3,0,5,7,0,1
IGHV3-53*91,IGHD2-2*02,IGHJ3*02_F,59,3,4,1,4,4,8,1
IGHV4/OR15-8*03,IGHD6-19*01,IGHJ4*02_F,48,4,5,1,3,7,5,2
IGHV3-23*04,IGHD4-17*01,IGHJ4*02_F,36,1,3,0,7,1,2,1
IGHV1-69*10,IGHD5-5*01,IGHJ4*02_F,42,0,2,4,8,4,4,1
IGHV1-f*01,IGHD6-19*01,IGHJ4*02_F,24,0,12,5,8,0,2,1
IGHV4-61*03,IGHD4-23*01,IGHJ4*02_F,44,1,4,0,2,4,0,1
IGHV1-2*04,IGHD1-26*01,IGHJ4*02_F,42,0,5,0,12,5,8,1
IGHV3-33*05,IGHD6-13*01,IGHJ4*02_F,36,1,6,5,10,8,1,1
IGHV3-66*03,IGHD1-26*01,IGHJ4*02_F,39,0,1,5,4,0,1,3
IGHV3-7*03,IGHD6-19*01,IGHJ4*02_F,44,2,12,0,0,6,3,1
IGHV3-NL1*01,IGHD2-15*01,IGHJ6*03_F,-1,20,3,1,12,14,21,1
IGHV3-30*15,IGHD3-10*01,IGHJ6*02_F,75,0,3,4,6,2,12,1
IGHV1-68*01,IGHD6-6*01,IGHJ4*02_F,-1,72,5,0,0,42,1,2
IGHV3-h*02,IGHD3-22*01,IGHJ4*02_F,45,5,0,9,12,8,4,1
IGHV3-h*01,IGHD2-21*02,IGHJ4*02_F,36,5,12,5,12,7,7,2
IGHV1-24*01,IGHD5/OR15-5b*01,IGHJ4*02_F,-1,3,12,5,16,2,21,1
IGHV3-h*02,IGHD3-10*01,IGHJ5*02_F,-1,0,6,12,19,6,13,1
IGHV4-34*13,IGHD3-22*01,IGHJ4*02_F,69,1,0,6,0,10,7,1
IGHV3-9*02,IGHD2-15*01,IGHJ4*02_F,44,9,8,9,1,7,3,1
IGHV4/OR15-8*03,IGHD2-15*01,IGHJ1*01_F,71,2,11,2,2,4,21,1
IGHV3-66*03,IGHD3-10*01,IGHJ6*02_F,72,1,0,9,0,7,1,1
IGHV1/OR15-3*02,IGHD2-21*02,IGHJ4*02_F,69,0,2,0,1,11,5,1
IGHV3-30*05,IGHD6-6*01,IGHJ1P*01_P,-1,1,14,0,14,2,0,1
IGHV3-33*06,IGHD5-24*01,IGHJ4*02_F,42,4,6,4,11,2,17,1
IGHV3-64*04,IGHD3-10*02,IGHJ6*04_F,56,0,12,7,16,18,0,1
IGHV3-64*05,IGHD3-10*01,IGHJ5*02_F,-1,9,5,4,7,8,7,1
IGHV3-48*02,IGHD3-10*01,IGHJ3*02_F,44,2,7,10,2,0,4,1
IGHV3-9*02,IGHD5-5*01,IGHJ6*03_F,75,5,3,1,4,16,7,1
IGHV4-30-4*06,IGHD1-14*01,IGHJ4*02_F,39,0,0,2,6,1,1,2
IGHV3-23*04,IGHD3-16*02,IGHJ5*02_F,72,1,18,2,1,10,16,1
IGHV3-23*04,IGHD2-15*01,IGHJ1*01_F,63,1,6,0,0,7,0,1
IGHV3-NL1*01,IGHD3-3*01,IGHJ4*02_F,75,4,0,7,9,17,19,1
IGHV3-23*04,IGHD4-17*01,IGHJ6*02_F,57,0,1,0,15,4,10,1
IGHV5-51*03,IGHD3-10*02,IGHJ4*03_F,48,0,12,0,3,0,7,1
IGHV1-8*91,IGHD3-16*02,IGHJ6*03_F,52,0,17,13,3,0,5,1
IGHV3-9*02,IGHD3-3*01,IGHJ6*03_F,75,2,0,4,4,0,9,2
IGHV3-30*15,IGHD3-10*01,IGHJ4*03_F,-1,1,1,3,16,5,13,1
IGHV3-h*01,IGHD4-23*01,IGHJ4*02_F,44,0,7,5,0,9,0,1
IGHV1-18*01,IGHD4-4*01,IGHJ4*02_F,42,2,0,0,8,5,3,5
IGHV3-66*03,IGHD3-10*01,IGHJ4*02_F,75,0,1,4,0,13,8,1
IGHV3-h*01,IGHD6-25*01,IGHJ4*03_F,-1,0,10,0,16,11,13,1
IGHV3-64*04,IGHD3-16*02,IGHJ5*02_F,57,1,12,8,1,10,1,1
IGHV4-61*08,IGHD3/OR15-3b*01,IGHJ5*02_F,45,2,11,15,0,9,2,1
IGHV3-h*01,IGHD2-15*01,IGHJ5*02_F,70,1,0,0,1,7,3,1
IGHV3-74*03,IGHD2-8*01,IGHJ6*02_F,75,0,12,0,1,5,9,1
IGHV3-h*01,IGHD5/OR15-5b*01,IGHJ5*02_F,39,3,8,9,8,1,12,1
IGHV3-NL1*01,IGHD5-5*01,IGHJ4*02_F,-1,0,0,4,23,2,21,1
IGHV3-23*04,IGHD3-3*01,IGHJ6*03_F,75,2,0,13,8,8,16,1
IGHV4-30-4*06,IGHD3-9*01,IGHJ6*02_F,44,1,6,5,25,7,0,1
IGHV3-64*04,IGHD6-19*01,IGHJ6*02_F,57,0,5,1,7,5,1,2
IGHV3-20*91,IGHD4-23*01,IGHJ2P*01_P,45,1,6,4,1,4,0,1
IGHV5-a*02,IGHD3/OR15-3b*01,IGHJ5*02_F,45,5,16,0,1,3,2,1
IGHV3/OR16-15*02,IGHD2-2*03,IGHJ6*03_F,75,3,3,2,1,9,3,1
IGHV3-43*91,IGHD3-9*01,IGHJ6*02_F,75,1,5,7,4,5,11,1
IGHV4-34*13,IGHD3-10*01,IGHJ1*01_F,87,2,6,5,0,7,30,1
IGHV4/OR15-8*03,IGHD3/OR15-3b*01,IGHJ4*02_F,45,4,11,6,1,6,2,1
IGHV3-20*91,IGHD3-16*02,IGHJ4*02_F,44,0,4,14,6,0,3,1
IGHV3-33*06,IGHD3-10*01,IGHJ6*03_F,75,2,0,6,0,6,3,1
IGHV3-9*02,IGHD6-19*01,IGHJ4*02_F,45,1,6,3,1,5,0,1
IGHV3-23*04,IGHD7-27*01,IGHJ6*02_F,45,3,2,0,4,0,0,1
IGHV3-23*04,IGHD3-10*02,IGHJ4*02_F,-1,0,11,3,16,0,16,1
IGHV3-33*05,IGHD6-13*01,IGHJ4*02_F,71,0,1,4,5,28,4,1
IGHV3-49*05,IGHD4-17*01,IGHJ6*02_F,57,1,4,0,5,2,6,1
IGHV3-11*04,IGHD1-26*01,IGHJ4*02_F,36,0,0,6,12,3,3,1
IGHV1-69*13,IGHD2-15*01,IGHJ6*02_F,75,0,7,9,5,13,9,1
IGHV3-19*01,IGHD2-21*02,IGHJ4*02_F,-1,9,11,4,4,7,2,1
IGHV3-53*91,IGHD6-19*01,IGHJ4*02_F,59,0,0,0,3,4,11,1
IGHV3-7*03,IGHD2-21*01,IGHJ4*02_F,44,3,1,9,8,9,0,1
IGHV3-9*02,IGHD3-3*02,IGHJ6*03_F,90,1,2,7,0,18,6,1
IGHV3-h*01,IGHD4-17*01,IGHJ6*03_F,75,0,4,0,8,7,21,1
IGHV3-23*04,IGHD3-22*01,IGHJ6*03_F,-1,145,10,5,2,11,27,1
IGHV3-74*03,IGHD3-16*02,IGHJ4*02_F,57,0,17,13,0,12,10,1
IGHV1-18*01,IGHD6-13*01,IGHJ4*02_F,42,1,6,0,3,2,1,1
IGHV3-71*01,IGHD6-13*01,IGHJ1*01_F,45,0,7,3,8,3,7,2
IGHV3-11*04,IGHD5-5*01,IGHJ4*02_F,55,5,2,4,0,12,6,1
IGHV3-66*03,IGHD4/OR15-4b*01,IGHJ3*02_F,57,0,3,2,0,8,5,1
IGHV3-h*02,IGHD3-16*02,IGHJ6*02_F,75,0,8,8,0,11,0,2
IGHV3-NL1*01,IGHD4-17*01,IGHJ6*03_F,57,1,1,3,4,5,2,3
IGHV3-h*01,IGHD3-3*01,IGHJ6*03_F,73,0,0,1,9,9,0,1
IGHV3-11*01,IGHD3-16*02,IGHJ4*02_F,36,4,12,14,11,0,12,3
IGHV3-23*04,IGHD6-13*01,IGHJ6*02_F,66,0,1,3,8,14,0,1
IGHV3-33*06,IGHD4-17*01,IGHJ6*03_F,57,1,1,2,4,5,1,1
IGHV2-70*12,IGHD6-19*01,IGHJ4*02_F,45,0,5,9,2,4,6,1
IGHV3-43*02,IGHD3-10*01,IGHJ3*02_F,66,0,8,5,0,6,10,1
IGHV5-51*04,IGHD3-9*01,IGHJ2*01_F,57,1,0,10,5,6,5,1
IGHV2-5*10,IGHD3-10*01,IGHJ6*02_F,72,1,10,6,3,15,5,1
IGHV4-30-4*06,IGHD6-19*01,IGHJ4*02_F,44,0,12,3,4,14,0,1
IGHV5-51*03,IGHD3-10*01,IGHJ4*03_F,-1,0,10,10,24,6,25,1
IGHV3-h*01,IGHD3-9*01,IGHJ4*02_F,75,2,2,2,9,7,24,1
IGHV7-4-1*92,IGHD3-22*01,IGHJ3*02_F,-1,2,0,7,0,2,4,1
IGHV4-b*02,IGHD4-23*01,IGHJ4*02_F,-1,0,3,8,16,11,15,1
IGHV3-53*91,IGHD6-19*01,IGHJ4*02_F,59,0,4,0,0,3,13,1
IGHV1-18*01,IGHD6-25*01,IGHJ5*02_F,48,0,7,3,5,14,0,1
IGHV3-h*01,IGHD3-10*01,IGHJ5*02_F,75,2,6,5,0,12,14,1
IGHV1-3*02,IGHD3-10*02,IGHJ4*02_F,42,0,12,10,3,6,3,1
IGHV5-78*01,IGHD3/OR15-3b*01,IGHJ6*03_F,-1,81,4,10,37,2,22,1
IGHV3-53*91,IGHD4-4*01,IGHJ6*02_F,59,1,0,0,28,12,19,2
IGHV3-h*01,IGHD2-15*01,IGHJ6*03_F,73,4,2,6,0,10,1,1
IGHV3-66*03,IGHD4-17*01,IGHJ4*02_F,36,0,4,4,10,4,6,1
IGHV3-9*02,IGHD2-2*03,IGHJ5*02_F,87,0,4,0,3,14,16,1
IGHV3-NL1*01,IGHD6-13*01,IGHJ4*02_F,45,3,0,3,0,0,2,1
IGHV3-23*04,IGHD2-21*02,IGHJ3*01_F,81,0,0,0,2,2,23,2
IGHV4-61*02,IGHD2-2*03,IGHJ5*02_F,45,0,17,6,6,12,0,1
IGHV4-61*02,IGHD3-10*01,IGHJ5*02_F,48,0,10,7,8,11,0,3
IGHV3-h*01,IGHD3-10*01,IGHJ6*02_F,75,3,1,3,0,4,4,1
IGHV1-18*01,IGHD3-16*02,IGHJ4*02_F,42,1,18,7,4,7,0,1
IGHV3-30*15,IGHD6-13*01,IGHJ4*02_F,56,2,10,0,3,10,12,1
IGHV3-66*03,IGHD2-21*01,IGHJ4*02_F,70,0,0,3,7,9,15,1
IGHV3-h*02,IGHD3-22*01,IGHJ4*02_F,69,1,3,0,11,10,15,1
IGHV3-h*01,IGHD3-16*01,IGHJ4*02_F,36,3,17,8,1,0,0,1
IGHV4-30-4*06,IGHD2-2*03,IGHJ6*03_F,69,1,8,0,3,5,2,1
IGHV3-48*02,IGHD6-19*01,IGHJ4*02_F,-1,13,1,3,16,14,14,1
IGHV3-23*04,IGHD5-12*01,IGHJ4*02_F,57,3,0,0,7,4,12,2
IGHV3-h*01,IGHD3-3*01,IGHJ4*02_F,-1,3,6,10,23,6,21,1
IGHV3-h*02,IGHD3-22*01,IGHJ6*03_F,75,0,0,0,6,3,4,1
IGHV3-NL1*01,IGHD6-6*01,IGHJ4*02_F,36,0,13,0,11,0,14,1
IGHV1-69*13,IGHD3/OR15-3b*01,IGHJ5*02_F,42,4,13,10,8,11,4,1
